
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 3151.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'OFF_HD13908', 'src_dej': <Angle 65.5929 deg>, 'src_raj': <Angle 2.30415333 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.207083333335, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/OFF_Scan2/spliced_blc0x1x2x_guppi_59524_17892_OFF_HD13908_0035.rawspec.0000.h5, max_drift=10.0, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/OFF_Scan2/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 23.545012, Drift Rate -0.000000, index 334310
Top hit found! SNR 17.040398, Drift Rate -0.000000, index 427467
Top hit found! SNR 26.132021, Drift Rate -0.000000, index 463613
Top hit found! SNR 1197.582153, Drift Rate -0.000000, index 592370
Top hit found! SNR 503.210449, Drift Rate -0.000000, index 595575
Top hit found! SNR 82.314407, Drift Rate -0.000000, index 598302
Top hit found! SNR 12.945363, Drift Rate -0.000000, index 727537
Top hit found! SNR 22.467548, Drift Rate -0.000000, index 757274
Top hit found! SNR 27.253311, Drift Rate -0.000000, index 775946
Top hit found! SNR 102.576904, Drift Rate -0.000000, index 856215
Top hit found! SNR 18.563116, Drift Rate -0.000000, index 862295
Top hit found! SNR 22.084101, Drift Rate -0.000000, index 889196
Top hit found! SNR 62.002346, Drift Rate -0.000000, index 922178
Top hit found! SNR 17.959948, Drift Rate -0.000000, index 955160
Top hit found! SNR 56.340958, Drift Rate -0.000000, index 981331
Top hit found! SNR 54.254089, Drift Rate -0.000000, index 988141
Top hit found! SNR 17.839663, Drift Rate -0.000000, index 71488
Top hit found! SNR 10.828401, Drift Rate -0.000000, index 77716
Top hit found! SNR 1066.609009, Drift Rate -0.000000, index 203410
Top hit found! SNR 380.049866, Drift Rate -0.000000, index 206907
Top hit found! SNR 485.984406, Drift Rate -0.000000, index 209712
Top hit found! SNR 17.021309, Drift Rate 0.009566, index 335332
Top hit found! SNR 13.277455, Drift Rate -0.000000, index 470834
Top hit found! SNR 11.267265, Drift Rate -0.000000, index 473705
Top hit found! SNR 13.199585, Drift Rate -0.000000, index 602801
Top hit found! SNR 414.885071, Drift Rate -0.000000, index 863025
Top hit found! SNR 153.054581, Drift Rate -0.000000, index 866728
Top hit found! SNR 12.045928, Drift Rate -0.000000, index 144256
Top hit found! SNR 79.771614, Drift Rate -0.000000, index 474064
Top hit found! SNR 36.735352, Drift Rate -0.000000, index 477973
Top hit found! SNR 18.010181, Drift Rate -0.000000, index 481108
Top hit found! SNR 10.798165, Drift Rate -0.000000, index 737908
Top hit found! SNR 11.029048, Drift Rate -0.000000, index 869835
Top hit found! SNR 625.440918, Drift Rate -0.000000, index 85103
Top hit found! SNR 39.009705, Drift Rate -0.000000, index 89218
Top hit found! SNR 20.641890, Drift Rate -0.000000, index 221071
Top hit found! SNR 17.690207, Drift Rate -0.000000, index 250007
Top hit found! SNR 78.645645, Drift Rate -0.000000, index 348947
Top hit found! SNR 17.440651, Drift Rate 0.009566, index 353034
Top hit found! SNR 31.764067, Drift Rate -0.000000, index 381929
Top hit found! SNR 11.209710, Drift Rate -0.000000, index 386025
Top hit found! SNR 47.625275, Drift Rate -0.000000, index 414911
Top hit found! SNR 18.692112, Drift Rate -0.000000, index 419017
Top hit found! SNR 24.119484, Drift Rate -0.000000, index 447892
Top hit found! SNR 88.172798, Drift Rate -0.000000, index 480874
Top hit found! SNR 43.787678, Drift Rate -0.000000, index 485000
Top hit found! SNR 29.916658, Drift Rate -0.000000, index 579814
Top hit found! SNR 25.780443, Drift Rate -0.000000, index 583971
Top hit found! SNR 116.492569, Drift Rate -0.000000, index 612796
Top hit found! SNR 34.779167, Drift Rate 0.009566, index 617076
Top hit found! SNR 18.679810, Drift Rate -0.000000, index 645778
Top hit found! SNR 1022.214844, Drift Rate -0.000000, index 744718
Top hit found! SNR 459.409180, Drift Rate -0.000000, index 749039
Top hit found! SNR 195.759033, Drift Rate -0.000000, index 752504
Top hit found! SNR 51.400509, Drift Rate -0.000000, index 876640
Top hit found! SNR 20.770239, Drift Rate -0.000000, index 881002
Top hit found! SNR 31.324102, Drift Rate -0.000000, index 909622
Top hit found! SNR 20.150673, Drift Rate -0.000000, index 913994
Top hit found! SNR 19.342022, Drift Rate -0.000000, index 1012849
Top hit found! SNR 26.961016, Drift Rate -0.000000, index 160782
Top hit found! SNR 19.665321, Drift Rate -0.000000, index 228202
Top hit found! SNR 322.615448, Drift Rate -0.000000, index 355757
Top hit found! SNR 306.241211, Drift Rate -0.000000, index 360164
Top hit found! SNR 12.532475, Drift Rate 0.066965, index 520379
Top hit found! SNR 64.393486, Drift Rate 0.009566, index 1015373
Top hit found! SNR 12.145979, Drift Rate -0.000000, index 1020104
Top hit found! SNR 14.095045, Drift Rate -0.000000, index 98718
Top hit found! SNR 11.149276, Drift Rate -0.000000, index 131700
Top hit found! SNR 20.942715, Drift Rate -0.000000, index 230641
Top hit found! SNR 16.585209, Drift Rate -0.000000, index 362567
Top hit found! SNR 13.187790, Drift Rate -0.000000, index 626412
Top hit found! SNR 74.738068, Drift Rate -0.000000, index 631219
Top hit found! SNR 20.632124, Drift Rate -0.000000, index 890256
Top hit found! SNR 23.925808, Drift Rate -0.000000, index 237451
Top hit found! SNR 40.995064, Drift Rate -0.000000, index 242594
Top hit found! SNR 18.757631, Drift Rate -0.000000, index 897066
Top hit found! SNR 10.386435, Drift Rate -0.000000, index 112334
