,TopHitNum,DriftRate,SNR,Freq,ChanIndx,FreqStart,FreqEnd,CoarseChanNum,FullNumHitsInRange,FileID,Source,MJD,RA,DEC,DELTAT,DELTAF,max_drift_rate,obs_length,Hit_ID,status,in_n_ons,RFI_in_range,delta_t
2047,833,-0.181763,28.551809,2180.807627,333094,2180.811709,2180.803551,331,674964,spliced_blc0x1x2x_guppi_59524_17215_OFF_HD13908_0033.rawspec.0000.h5,OFF_HD13908,59524.199247685188,2h18m14.496s,65d35m36.96s,18.253611,-2.793968,10.000000,292.057776,,on_table_2,,,687.0000002905726
2048,834,-0.200896,15.319425,2180.798223,336460,2180.802305,2180.794146,331,674964,spliced_blc0x1x2x_guppi_59524_17215_OFF_HD13908_0033.rawspec.0000.h5,OFF_HD13908,59524.199247685188,2h18m14.496s,65d35m36.96s,18.253611,-2.793968,10.000000,292.057776,,on_table_2,,,687.0000002905726
2049,835,-0.19133,26.745762,2180.791168,338985,2180.79525,2180.787092,331,674964,spliced_blc0x1x2x_guppi_59524_17215_OFF_HD13908_0033.rawspec.0000.h5,OFF_HD13908,59524.199247685188,2h18m14.496s,65d35m36.96s,18.253611,-2.793968,10.000000,292.057776,,on_table_2,,,687.0000002905726
2050,836,-0.181763,30.403389,2180.781761,342352,2180.785843,2180.777684,331,674964,spliced_blc0x1x2x_guppi_59524_17215_OFF_HD13908_0033.rawspec.0000.h5,OFF_HD13908,59524.199247685188,2h18m14.496s,65d35m36.96s,18.253611,-2.793968,10.000000,292.057776,,on_table_2,,,687.0000002905726
2051,837,-0.181763,48.292015,2180.768828,346981,2180.77291,2180.764751,331,674964,spliced_blc0x1x2x_guppi_59524_17215_OFF_HD13908_0033.rawspec.0000.h5,OFF_HD13908,59524.199247685188,2h18m14.496s,65d35m36.96s,18.253611,-2.793968,10.000000,292.057776,,on_table_2,,,687.0000002905726
2052,838,0.229596,31.208393,2180.755257,351838,2180.759339,2180.751181,331,674964,spliced_blc0x1x2x_guppi_59524_17215_OFF_HD13908_0033.rawspec.0000.h5,OFF_HD13908,59524.199247685188,2h18m14.496s,65d35m36.96s,18.253611,-2.793968,10.000000,292.057776,,on_table_2,,,687.0000002905726
2053,839,-0.19133,30.69216,2180.750016,353714,2180.754098,2180.745939,331,674964,spliced_blc0x1x2x_guppi_59524_17215_OFF_HD13908_0033.rawspec.0000.h5,OFF_HD13908,59524.199247685188,2h18m14.496s,65d35m36.96s,18.253611,-2.793968,10.000000,292.057776,,on_table_2,,,687.0000002905726
2054,840,0.229596,27.27317,2180.742324,356467,2180.746406,2180.738248,331,674964,spliced_blc0x1x2x_guppi_59524_17215_OFF_HD13908_0033.rawspec.0000.h5,OFF_HD13908,59524.199247685188,2h18m14.496s,65d35m36.96s,18.253611,-2.793968,10.000000,292.057776,,on_table_2,,,687.0000002905726
2055,841,-0.200896,41.32769,2180.737082,358343,2180.741164,2180.733006,331,674964,spliced_blc0x1x2x_guppi_59524_17215_OFF_HD13908_0033.rawspec.0000.h5,OFF_HD13908,59524.199247685188,2h18m14.496s,65d35m36.96s,18.253611,-2.793968,10.000000,292.057776,,on_table_2,,,687.0000002905726
2056,842,-0.200896,32.305676,2180.732674,359921,2180.736756,2180.728597,331,674964,spliced_blc0x1x2x_guppi_59524_17215_OFF_HD13908_0033.rawspec.0000.h5,OFF_HD13908,59524.199247685188,2h18m14.496s,65d35m36.96s,18.253611,-2.793968,10.000000,292.057776,,on_table_2,,,687.0000002905726
