
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 2251.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'ON_L', 'src_dej': <Angle 60.8685 deg>, 'src_raj': <Angle 2.65646667 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.15893518519, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/spliced_blc0x1x2x_guppi_59524_13732_ON_L_0019.rawspec.0000.h5, max_drift=0.1645305668710781, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 120.991020, Drift Rate -0.000000, index 37446
Top hit found! SNR 15.887708, Drift Rate -0.000000, index 39209
Top hit found! SNR 33.763096, Drift Rate -0.000000, index 40709
Top hit found! SNR 25.544849, Drift Rate -0.000000, index 103405
Top hit found! SNR 36.048996, Drift Rate -0.000000, index 136386
Top hit found! SNR 43870.000000, Drift Rate -0.000000, index 169368
Top hit found! SNR 423.436096, Drift Rate -0.000000, index 171171
Top hit found! SNR 317.896912, Drift Rate -0.000000, index 171220
Top hit found! SNR 1587.865845, Drift Rate -0.000000, index 172705
Top hit found! SNR 21.706738, Drift Rate -0.000000, index 202350
Top hit found! SNR 25.876858, Drift Rate -0.000000, index 235331
Top hit found! SNR 32.078831, Drift Rate -0.000000, index 268308
Top hit found! SNR 10.683033, Drift Rate -0.000000, index 271701
Top hit found! SNR 86.592041, Drift Rate -0.000000, index 301290
Top hit found! SNR 17.879381, Drift Rate -0.000000, index 303133
Top hit found! SNR 18.065058, Drift Rate -0.000000, index 304701
Top hit found! SNR 22.464867, Drift Rate -0.000000, index 334272
Top hit found! SNR 11.195622, Drift Rate -0.000000, index 336125
Top hit found! SNR 101.336395, Drift Rate -0.000000, index 433212
Top hit found! SNR 14.951960, Drift Rate 0.009566, index 435096
Top hit found! SNR 13.662939, Drift Rate -0.000000, index 436698
Top hit found! SNR 28.167116, Drift Rate -0.000000, index 466194
Top hit found! SNR 19.038662, Drift Rate -0.000000, index 499176
Top hit found! SNR 194.866562, Drift Rate -0.000000, index 524289
Top hit found! SNR 41.582081, Drift Rate -0.000000, index 532157
Top hit found! SNR 101.785599, Drift Rate -0.000000, index 565139
Top hit found! SNR 13.848192, Drift Rate -0.000000, index 567062
Top hit found! SNR 12.415658, Drift Rate -0.000000, index 598116
Top hit found! SNR 13.514880, Drift Rate -0.000000, index 631097
Top hit found! SNR 20.712944, Drift Rate -0.000000, index 697061
Top hit found! SNR 5402.711914, Drift Rate -0.000000, index 828983
Top hit found! SNR 1034.138306, Drift Rate -0.000000, index 831041
Top hit found! SNR 369.849487, Drift Rate -0.000000, index 832691
Top hit found! SNR 10.585673, Drift Rate -0.000000, index 46392
Top hit found! SNR 837.537415, Drift Rate -0.000000, index 51061
Top hit found! SNR 19.755793, Drift Rate -0.000000, index 53531
Top hit found! SNR 17.371847, Drift Rate -0.000000, index 110215
Top hit found! SNR 13.913055, Drift Rate -0.000000, index 176178
Top hit found! SNR 11.901446, Drift Rate -0.000000, index 178359
Top hit found! SNR 15.109830, Drift Rate -0.000000, index 275118
Top hit found! SNR 38.707317, Drift Rate -0.000000, index 310323
Top hit found! SNR 2272.307861, Drift Rate -0.000000, index 342535
Top hit found! SNR 8429.299805, Drift Rate -0.000000, index 440022
Top hit found! SNR 36.355133, Drift Rate -0.000000, index 442226
Top hit found! SNR 400.965759, Drift Rate -0.000000, index 442286
Top hit found! SNR 13.956214, Drift Rate -0.000000, index 444101
Top hit found! SNR 187.592331, Drift Rate 0.009566, index 524289
Top hit found! SNR 24.748737, Drift Rate -0.000000, index 571944
Top hit found! SNR 13.627099, Drift Rate -0.000000, index 604926
Top hit found! SNR 10.586689, Drift Rate -0.009566, index 703866
Top hit found! SNR 13.382614, Drift Rate -0.000000, index 835793
Top hit found! SNR 11790.563477, Drift Rate -0.000000, index 51061
Top hit found! SNR 361.224884, Drift Rate -0.000000, index 53531
Top hit found! SNR 60.191536, Drift Rate -0.000000, index 55511
Top hit found! SNR 21.747547, Drift Rate -0.000000, index 215965
Top hit found! SNR 19.159195, Drift Rate -0.000000, index 314906
Top hit found! SNR 18.322590, Drift Rate -0.000000, index 446832
Top hit found! SNR 10.195202, Drift Rate -0.000000, index 512791
Top hit found! SNR 189.413086, Drift Rate -0.009566, index 524287
Top hit found! SNR 17.770060, Drift Rate -0.000000, index 545773
Top hit found! SNR 11.121190, Drift Rate 0.009566, index 578755
Top hit found! SNR 13.218637, Drift Rate -0.000000, index 611736
Top hit found! SNR 1110.602905, Drift Rate -0.000000, index 710676
Top hit found! SNR 67.767670, Drift Rate -0.000000, index 713352
Top hit found! SNR 20.291998, Drift Rate 0.105231, index 715463
Top hit found! SNR 26.392952, Drift Rate -0.000000, index 715497
Top hit found! SNR 14.124990, Drift Rate -0.105231, index 733800
Top hit found! SNR 13.526938, Drift Rate -0.066965, index 735074
Top hit found! SNR 16.526016, Drift Rate -0.105231, index 735605
Top hit found! SNR 21.329891, Drift Rate -0.000000, index 842598
Top hit found! SNR 13.690425, Drift Rate -0.000000, index 875580
Top hit found! SNR 13.864828, Drift Rate -0.000000, index 923188
Top hit found! SNR 26.651714, Drift Rate -0.000000, index 974521
Top hit found! SNR 19.494198, Drift Rate -0.000000, index 57871
Top hit found! SNR 24.312891, Drift Rate -0.000000, index 156812
Top hit found! SNR 1733.886597, Drift Rate -0.000000, index 321716
Top hit found! SNR 33.742580, Drift Rate -0.000000, index 324520
Top hit found! SNR 188.433899, Drift Rate -0.000000, index 524287
Top hit found! SNR 57.456642, Drift Rate -0.000000, index 585560
Top hit found! SNR 19.255585, Drift Rate -0.000000, index 618541
Top hit found! SNR 40.307472, Drift Rate -0.000000, index 651523
Top hit found! SNR 41.335106, Drift Rate -0.000000, index 717486
Top hit found! SNR 16.891161, Drift Rate -0.000000, index 816427
Top hit found! SNR 21.621658, Drift Rate -0.000000, index 849409
Top hit found! SNR 1508.238037, Drift Rate -0.000000, index 981331
Top hit found! SNR 66.846901, Drift Rate -0.000000, index 984336
Top hit found! SNR 31.078876, Drift Rate -0.000000, index 984418
Top hit found! SNR 248.963867, Drift Rate -0.000000, index 986893
Top hit found! SNR 18.730104, Drift Rate -0.000000, index 196599
Top hit found! SNR 34.149719, Drift Rate -0.000000, index 199684
Top hit found! SNR 17.250158, Drift Rate -0.000000, index 202309
Top hit found! SNR 17.707552, Drift Rate -0.000000, index 262562
Top hit found! SNR 179.128235, Drift Rate -0.000000, index 290612
Top hit found! SNR 14.498464, Drift Rate -0.000000, index 328525
Top hit found! SNR 28.726925, Drift Rate -0.000000, index 331651
Top hit found! SNR 25.107002, Drift Rate -0.000000, index 334310
Top hit found! SNR 22.560034, Drift Rate -0.000000, index 427466
Top hit found! SNR 21.978165, Drift Rate -0.000000, index 463613
Top hit found! SNR 178.179382, Drift Rate -0.028699, index 524286
Top hit found! SNR 1637.450195, Drift Rate -0.000000, index 592370
Top hit found! SNR 79.002724, Drift Rate -0.000000, index 593743
Top hit found! SNR 475.240570, Drift Rate -0.000000, index 595575
Top hit found! SNR 18.134800, Drift Rate -0.000000, index 595663
Top hit found! SNR 56.471748, Drift Rate -0.000000, index 598303
Top hit found! SNR 11.439472, Drift Rate -0.000000, index 727537
Top hit found! SNR 13.606580, Drift Rate -0.000000, index 757274
Top hit found! SNR 13.904490, Drift Rate -0.000000, index 775946
Top hit found! SNR 107.478546, Drift Rate -0.000000, index 856214
Top hit found! SNR 14.365467, Drift Rate -0.000000, index 862295
Top hit found! SNR 14.303853, Drift Rate -0.000000, index 889195
Top hit found! SNR 41.832294, Drift Rate -0.000000, index 922177
Top hit found! SNR 17.330313, Drift Rate -0.000000, index 955159
Top hit found! SNR 38.390881, Drift Rate -0.000000, index 981331
Top hit found! SNR 37.861507, Drift Rate -0.000000, index 988141
Top hit found! SNR 938.221008, Drift Rate -0.000000, index 1022913
Top hit found! SNR 11.752684, Drift Rate -0.000000, index 38505
Top hit found! SNR 20.401791, Drift Rate -0.000000, index 71487
Top hit found! SNR 2066.619141, Drift Rate -0.000000, index 203409
Top hit found! SNR 72.474930, Drift Rate -0.000000, index 206815
Top hit found! SNR 212.964249, Drift Rate -0.000000, index 206908
Top hit found! SNR 259.605774, Drift Rate 0.019133, index 209714
Top hit found! SNR 23.296139, Drift Rate -0.000000, index 335331
Top hit found! SNR 18.598949, Drift Rate -0.000000, index 468307
Top hit found! SNR 11.303369, Drift Rate -0.000000, index 468450
Top hit found! SNR 10.385622, Drift Rate -0.000000, index 468522
