
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 3151.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'OFF_HD13908', 'src_dej': <Angle 65.5929 deg>, 'src_raj': <Angle 2.30415333 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.207083333335, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/OFF_Scan/spliced_blc0x1x2x_guppi_59524_17892_OFF_HD13908_0035.rawspec.0000.h5, max_drift=31.515, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/OFF_Scan/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 52.754330, Drift Rate -11.776349, index 523748
Top hit found! SNR 52.899090, Drift Rate -0.794019, index 524253
Top hit found! SNR 68.946960, Drift Rate 25.418163, index 525451
Top hit found! SNR 51.378181, Drift Rate -6.773075, index 523979
Top hit found! SNR 51.149673, Drift Rate -24.002323, index 523189
Top hit found! SNR 51.021576, Drift Rate 6.036455, index 524565
Top hit found! SNR 50.876293, Drift Rate -28.957764, index 522965
Top hit found! SNR 49.361374, Drift Rate 14.263637, index 524939
Top hit found! SNR 47.743374, Drift Rate -2.066362, index 524192
Top hit found! SNR 46.517143, Drift Rate 11.518054, index 524816
Top hit found! SNR 46.035477, Drift Rate 23.581398, index 525367
Top hit found! SNR 46.283928, Drift Rate 11.077995, index 524796
Top hit found! SNR 44.942505, Drift Rate 22.768246, index 525330
Top hit found! SNR 45.167229, Drift Rate -14.215804, index 523638
Top hit found! SNR 43.758953, Drift Rate -6.715676, index 523980
Top hit found! SNR 42.700287, Drift Rate -10.350942, index 523815
Top hit found! SNR 44.005047, Drift Rate 12.292939, index 524851
Top hit found! SNR 42.914227, Drift Rate -31.110224, index 522866
Top hit found! SNR 13.501081, Drift Rate -28.087214, index 522637
Top hit found! SNR 10.083950, Drift Rate -0.000000, index 174763
Top hit found! SNR 41.029106, Drift Rate -0.019133, index 569166
Top hit found! SNR 118.406273, Drift Rate -0.000000, index 680985
Top hit found! SNR 27.878693, Drift Rate -0.038266, index 328103
Top hit found! SNR 623.776978, Drift Rate -0.000000, index 384478
Top hit found! SNR 69.774933, Drift Rate 0.267862, index 1021381
Top hit found! SNR 21.295517, Drift Rate 0.267862, index 1021381
