
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 3151.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'ON_S', 'src_dej': <Angle 60.8686 deg>, 'src_raj': <Angle 2.65636667 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.2031712963, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/spliced_blc0x1x2x_guppi_59524_17554_ON_S_0034.rawspec.0000.h5, max_drift=0.23523575033112856, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 15.257611, Drift Rate -0.000000, index 809628
Top hit found! SNR 11.557014, Drift Rate -0.000000, index 810486
Top hit found! SNR 15.342691, Drift Rate -0.000000, index 841540
Top hit found! SNR 16.519749, Drift Rate -0.000000, index 907503
Top hit found! SNR 60.878105, Drift Rate -0.000000, index 940480
Top hit found! SNR 103.006821, Drift Rate -0.000000, index 957699
Top hit found! SNR 27.240738, Drift Rate -0.000000, index 1006443
Top hit found! SNR 12.278486, Drift Rate 0.028699, index 1023197
Top hit found! SNR 91.843132, Drift Rate -0.000000, index 1027048
Top hit found! SNR 11.696794, Drift Rate -0.000000, index 23831
Top hit found! SNR 10.632792, Drift Rate -0.000000, index 122771
Top hit found! SNR 15.246990, Drift Rate -0.000000, index 155753
Top hit found! SNR 6446.303711, Drift Rate -0.000000, index 287675
Top hit found! SNR 1294.283203, Drift Rate -0.000000, index 288877
Top hit found! SNR 464.536469, Drift Rate -0.000000, index 289899
Top hit found! SNR 10.113401, Drift Rate -0.000000, index 452579
Top hit found! SNR 375.921387, Drift Rate 0.019133, index 524289
Top hit found! SNR 11.145658, Drift Rate 0.009566, index 617483
Top hit found! SNR 12.128945, Drift Rate -0.000000, index 815368
Top hit found! SNR 4394.977539, Drift Rate -0.000000, index 947290
Top hit found! SNR 244.833878, Drift Rate -0.000000, index 948692
Top hit found! SNR 134.114304, Drift Rate -0.000000, index 948730
Top hit found! SNR 1331.661743, Drift Rate -0.000000, index 949885
Top hit found! SNR 35.518036, Drift Rate -0.000000, index 1027048
Top hit found! SNR 21.913811, Drift Rate -0.000000, index 37446
Top hit found! SNR 24.421337, Drift Rate -0.000000, index 63618
Top hit found! SNR 13.038241, Drift Rate -0.000000, index 162558
Top hit found! SNR 10.023184, Drift Rate -0.000000, index 360444
Top hit found! SNR 11.108221, Drift Rate -0.000000, index 426407
Top hit found! SNR 400.968872, Drift Rate 0.038266, index 524291
Top hit found! SNR 52468.835938, Drift Rate -0.000000, index 558329
Top hit found! SNR 555.463074, Drift Rate -0.000000, index 559932
Top hit found! SNR 242.039001, Drift Rate -0.000000, index 559975
Top hit found! SNR 913.099121, Drift Rate -0.000000, index 561295
Top hit found! SNR 10.289913, Drift Rate -0.000000, index 657270
Top hit found! SNR 31.045542, Drift Rate -0.000000, index 690251
Top hit found! SNR 28.615765, Drift Rate -0.009566, index 691893
Top hit found! SNR 12.711771, Drift Rate -0.000000, index 693291
Top hit found! SNR 69.233894, Drift Rate -0.000000, index 723233
Top hit found! SNR 23.102718, Drift Rate 0.028699, index 748363
Top hit found! SNR 21.750229, Drift Rate -0.000000, index 756215
Top hit found! SNR 12.499749, Drift Rate -0.000000, index 757877
Top hit found! SNR 24.949253, Drift Rate -0.000000, index 789196
Top hit found! SNR 10.274209, Drift Rate -0.000000, index 790869
Top hit found! SNR 120.547371, Drift Rate -0.000000, index 822174
Top hit found! SNR 28.044279, Drift Rate -0.000000, index 823856
Top hit found! SNR 60.629910, Drift Rate -0.000000, index 823902
Top hit found! SNR 63.086006, Drift Rate -0.000000, index 825288
Top hit found! SNR 54.001312, Drift Rate -0.000000, index 855155
Top hit found! SNR 11.084049, Drift Rate -0.009566, index 856893
Top hit found! SNR 21.289991, Drift Rate -0.000000, index 858288
Top hit found! SNR 50.966667, Drift Rate -0.000000, index 888137
Top hit found! SNR 12.038193, Drift Rate -0.000000, index 889886
Top hit found! SNR 17.437439, Drift Rate -0.000000, index 891288
Top hit found! SNR 70.988152, Drift Rate -0.000000, index 921119
Top hit found! SNR 16.257330, Drift Rate -0.000000, index 922878
Top hit found! SNR 20.471296, Drift Rate 0.009566, index 924289
Top hit found! SNR 10.049022, Drift Rate -0.000000, index 947290
Top hit found! SNR 138.048950, Drift Rate -0.000000, index 954100
Top hit found! SNR 27.175453, Drift Rate -0.000000, index 955823
Top hit found! SNR 25.446106, Drift Rate -0.000000, index 955869
Top hit found! SNR 38.842312, Drift Rate -0.000000, index 957288
Top hit found! SNR 51.794926, Drift Rate -0.000000, index 987077
