
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 2251.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'ON_L', 'src_dej': <Angle 60.8685 deg>, 'src_raj': <Angle 2.65646667 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.15893518519, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/focused/spliced_blc0x1x2x_guppi_59524_13732_ON_L_0019.rawspec.0000.h5, max_drift=0.15187436941945667, min_drift=0.10124957961297112, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/focused/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 28.419598, Drift Rate -0.143497, index 886334
Top hit found! SNR 27.883966, Drift Rate -0.105231, index 886692
Top hit found! SNR 28.105833, Drift Rate -0.124364, index 887045
Top hit found! SNR 29.364594, Drift Rate -0.114798, index 887420
Top hit found! SNR 28.326471, Drift Rate -0.124364, index 887761
Top hit found! SNR 27.694216, Drift Rate -0.105231, index 888127
Top hit found! SNR 29.994274, Drift Rate -0.124364, index 888494
Top hit found! SNR 30.076307, Drift Rate -0.105231, index 890271
Top hit found! SNR 28.783621, Drift Rate -0.124364, index 890302
Top hit found! SNR 31.346163, Drift Rate -0.105231, index 890629
Top hit found! SNR 29.614189, Drift Rate -0.114798, index 891715
Top hit found! SNR 30.236710, Drift Rate -0.143497, index 892076
Top hit found! SNR 30.026073, Drift Rate -0.114798, index 892431
Top hit found! SNR 30.018028, Drift Rate -0.133931, index 892784
Top hit found! SNR 30.554028, Drift Rate -0.105231, index 893134
Top hit found! SNR 31.660067, Drift Rate -0.105231, index 893492
Top hit found! SNR 32.429890, Drift Rate -0.105231, index 894208
Top hit found! SNR 33.024918, Drift Rate -0.105231, index 894566
Top hit found! SNR 31.383793, Drift Rate -0.143497, index 894924
Top hit found! SNR 32.433964, Drift Rate -0.114798, index 895294
Top hit found! SNR 31.303125, Drift Rate -0.143497, index 895655
Top hit found! SNR 32.407829, Drift Rate -0.114798, index 896010
Top hit found! SNR 31.507538, Drift Rate -0.143497, index 896371
Top hit found! SNR 32.522678, Drift Rate -0.114798, index 896726
