
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 3151.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'ON_S', 'src_dej': <Angle 60.8686 deg>, 'src_raj': <Angle 2.65636667 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.2031712963, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/focused/spliced_blc0x1x2x_guppi_59524_17554_ON_S_0034.rawspec.0000.h5, max_drift=0.21714069261334942, min_drift=0.14476046174223298, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/S_band/splice_no_overlap_ordered/focused/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 87.056023, Drift Rate -0.210463, index 801593
Top hit found! SNR 55.124218, Drift Rate -0.200896, index 801646
Top hit found! SNR 46.814758, Drift Rate -0.210463, index 801693
Top hit found! SNR 36.405182, Drift Rate -0.200896, index 801837
Top hit found! SNR 24.263655, Drift Rate -0.200896, index 802052
Top hit found! SNR 10.265917, Drift Rate 0.200896, index 802267
Top hit found! SNR 14.814211, Drift Rate -0.181763, index 802386
Top hit found! SNR 10.620448, Drift Rate -0.210463, index 804269
Top hit found! SNR 28.052404, Drift Rate -0.191330, index 804838
Top hit found! SNR 41.484077, Drift Rate -0.191330, index 805012
Top hit found! SNR 36.727215, Drift Rate -0.191330, index 805061
Top hit found! SNR 38.633030, Drift Rate -0.191330, index 805163
Top hit found! SNR 69.282097, Drift Rate -0.210463, index 805224
Top hit found! SNR 56.379353, Drift Rate -0.200896, index 805274
Top hit found! SNR 53.346970, Drift Rate 0.153064, index 805307
Top hit found! SNR 54.597900, Drift Rate -0.172197, index 805346
Top hit found! SNR 59.235855, Drift Rate -0.172197, index 805412
Top hit found! SNR 104.148033, Drift Rate -0.200896, index 805546
Top hit found! SNR 85.329208, Drift Rate -0.200896, index 805663
Top hit found! SNR 128.760849, Drift Rate -0.200896, index 805777
Top hit found! SNR 87.697975, Drift Rate -0.200896, index 805906
Top hit found! SNR 105.839943, Drift Rate -0.210463, index 805980
Top hit found! SNR 75.222572, Drift Rate -0.191330, index 806063
