
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 2251.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'ON_L', 'src_dej': <Angle 60.8686 deg>, 'src_raj': <Angle 2.65646667 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.14275462963, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/OFF_scan2/spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5, max_drift=9.997, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/OFF_scan2/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 10.100220, Drift Rate -0.181763, index 94522
Top hit found! SNR 33.286304, Drift Rate -0.000000, index 608712
Top hit found! SNR 22.086071, Drift Rate -0.000000, index 613903
Top hit found! SNR 11.509848, Drift Rate -0.000000, index 617618
Top hit found! SNR 14.421270, Drift Rate -0.000000, index 628643
Top hit found! SNR 26.878490, Drift Rate -0.000000, index 635300
Top hit found! SNR 11.230975, Drift Rate -0.000000, index 643031
Top hit found! SNR 12.803713, Drift Rate -0.000000, index 644534
Top hit found! SNR 22.355051, Drift Rate -0.000000, index 646896
Top hit found! SNR 12.414195, Drift Rate -0.000000, index 650762
Top hit found! SNR 11.234435, Drift Rate -0.000000, index 658063
Top hit found! SNR 14.426856, Drift Rate -0.000000, index 663002
Top hit found! SNR 181.170837, Drift Rate -0.000000, index 680214
Top hit found! SNR 154.009262, Drift Rate -0.000000, index 682223
Top hit found! SNR 135.340485, Drift Rate -0.000000, index 685422
Top hit found! SNR 131.905518, Drift Rate -0.000000, index 687323
Top hit found! SNR 117.829391, Drift Rate -0.000000, index 690267
Top hit found! SNR 139.499420, Drift Rate -0.000000, index 692424
Top hit found! SNR 148.611099, Drift Rate -0.000000, index 694325
Top hit found! SNR 205.470505, Drift Rate -0.000000, index 698168
Top hit found! SNR 161.753067, Drift Rate -0.000000, index 700575
Top hit found! SNR 144.090317, Drift Rate -0.000000, index 702119
Top hit found! SNR 155.982010, Drift Rate -0.000000, index 705134
Top hit found! SNR 156.578445, Drift Rate -0.000000, index 707720
Top hit found! SNR 203.711136, Drift Rate -0.000000, index 709948
Top hit found! SNR 179.377090, Drift Rate -0.000000, index 711921
Top hit found! SNR 287.722717, Drift Rate -0.000000, index 714364
Top hit found! SNR 145.448349, Drift Rate -0.000000, index 718386
Top hit found! SNR 138.141418, Drift Rate -0.000000, index 719858
Top hit found! SNR 183.152145, Drift Rate -0.000000, index 721401
Top hit found! SNR 156.317947, Drift Rate -0.000000, index 723701
Top hit found! SNR 228.418610, Drift Rate -0.000000, index 728980
Top hit found! SNR 58.940300, Drift Rate -0.000000, index 734331
Top hit found! SNR 11.457683, Drift Rate -0.000000, index 971627
Top hit found! SNR 16.187450, Drift Rate -0.000000, index 984830
Top hit found! SNR 11.112370, Drift Rate -0.000000, index 990728
Top hit found! SNR 17.430864, Drift Rate -0.000000, index 993516
Top hit found! SNR 15.443154, Drift Rate -0.000000, index 996639
Top hit found! SNR 24.323576, Drift Rate 0.009566, index 999076
Top hit found! SNR 40.365147, Drift Rate -0.000000, index 1001855
Top hit found! SNR 84.862976, Drift Rate -0.000000, index 1005677
Top hit found! SNR 46.569965, Drift Rate -0.000000, index 1008804
Top hit found! SNR 25.140491, Drift Rate -0.000000, index 1011913
Top hit found! SNR 18.456009, Drift Rate -0.000000, index 1015860
Top hit found! SNR 33.010712, Drift Rate -0.000000, index 1019299
Top hit found! SNR 30.031080, Drift Rate -0.000000, index 1024439
Top hit found! SNR 15.574856, Drift Rate -0.000000, index 1027201
Top hit found! SNR 20.373905, Drift Rate -0.000000, index 1032083
Top hit found! SNR 15.119619, Drift Rate -0.000000, index 69349
Top hit found! SNR 33.207146, Drift Rate -0.000000, index 72141
Top hit found! SNR 18.885912, Drift Rate -0.000000, index 73859
Top hit found! SNR 51.873783, Drift Rate -0.000000, index 78798
Top hit found! SNR 20.524626, Drift Rate -0.000000, index 84596
Top hit found! SNR 36.085148, Drift Rate -0.000000, index 86529
Top hit found! SNR 43.209461, Drift Rate -0.000000, index 90466
Top hit found! SNR 23.495281, Drift Rate -0.000000, index 93401
Top hit found! SNR 14.871560, Drift Rate -0.000000, index 97123
Top hit found! SNR 27.570673, Drift Rate -0.000000, index 102635
Top hit found! SNR 44.870892, Drift Rate -0.000000, index 106286
Top hit found! SNR 44.485363, Drift Rate 0.009566, index 131393
Top hit found! SNR 118.218170, Drift Rate -0.000000, index 134372
Top hit found! SNR 52.252800, Drift Rate -0.000000, index 136815
Top hit found! SNR 94.861801, Drift Rate -0.000000, index 139580
Top hit found! SNR 61.300030, Drift Rate -0.000000, index 143566
Top hit found! SNR 65.700417, Drift Rate -0.000000, index 145611
Top hit found! SNR 56.338074, Drift Rate -0.000000, index 150711
Top hit found! SNR 66.233498, Drift Rate -0.000000, index 154590
Top hit found! SNR 73.273895, Drift Rate -0.000000, index 158576
Top hit found! SNR 76.703827, Drift Rate -0.000000, index 161341
Top hit found! SNR 61.018467, Drift Rate -0.000000, index 164106
Top hit found! SNR 65.763344, Drift Rate -0.000000, index 167014
Top hit found! SNR 82.016930, Drift Rate -0.000000, index 169600
Top hit found! SNR 49.156975, Drift Rate -0.000000, index 172186
Top hit found! SNR 71.727608, Drift Rate -0.000000, index 177537
Top hit found! SNR 54.610111, Drift Rate -0.000000, index 181487
Top hit found! SNR 18.344694, Drift Rate -0.000000, index 187053
Top hit found! SNR 12.271854, Drift Rate -0.000000, index 191097
Top hit found! SNR 10.105255, Drift Rate -0.000000, index 206416
Top hit found! SNR 12.184744, Drift Rate -0.000000, index 213109
Top hit found! SNR 10.313398, Drift Rate -0.000000, index 224634
Top hit found! SNR 12.917187, Drift Rate -0.000000, index 278579
Top hit found! SNR 20.605972, Drift Rate -0.000000, index 284480
Top hit found! SNR 34.794407, Drift Rate -0.000000, index 289015
Top hit found! SNR 20.227911, Drift Rate -0.000000, index 296173
Top hit found! SNR 16.600761, Drift Rate -0.000000, index 297976
Top hit found! SNR 13.216572, Drift Rate -0.000000, index 300052
Top hit found! SNR 23.860315, Drift Rate -0.000000, index 302675
Top hit found! SNR 29.704020, Drift Rate -0.000000, index 307538
Top hit found! SNR 18.418417, Drift Rate -0.000000, index 310543
Top hit found! SNR 16.616865, Drift Rate -0.000000, index 314805
Top hit found! SNR 19.953306, Drift Rate -0.000000, index 319504
Top hit found! SNR 19.797831, Drift Rate -0.000000, index 323056
Top hit found! SNR 35.572372, Drift Rate -0.000000, index 326662
Top hit found! SNR 14.537173, Drift Rate -0.000000, index 328957
Top hit found! SNR 21.017870, Drift Rate -0.000000, index 333656
Top hit found! SNR 19.200867, Drift Rate -0.000000, index 336825
Top hit found! SNR 18.810867, Drift Rate -0.000000, index 340322
Top hit found! SNR 14.098662, Drift Rate -0.000000, index 344857
Top hit found! SNR 28.603630, Drift Rate -0.000000, index 347464
Top hit found! SNR 19.076067, Drift Rate -0.000000, index 352179
Top hit found! SNR 27.354181, Drift Rate -0.009566, index 354572
Top hit found! SNR 21.376333, Drift Rate -0.000000, index 360156
Top hit found! SNR 18.957876, Drift Rate -0.000000, index 365740
Top hit found! SNR 16.873243, Drift Rate 0.009566, index 367826
Top hit found! SNR 15.611459, Drift Rate -0.009566, index 369367
Top hit found! SNR 19.613571, Drift Rate -0.000000, index 371740
Top hit found! SNR 24.872412, Drift Rate -0.000000, index 374909
Top hit found! SNR 24.330109, Drift Rate -0.000000, index 379171
Top hit found! SNR 20.730524, Drift Rate -0.000000, index 381614
Top hit found! SNR 16.504509, Drift Rate -0.000000, index 386821
Top hit found! SNR 22.624117, Drift Rate -0.000000, index 388651
Top hit found! SNR 22.174479, Drift Rate -0.000000, index 390879
Top hit found! SNR 17.812834, Drift Rate -0.000000, index 396230
Top hit found! SNR 12.665751, Drift Rate -0.000000, index 398959
Top hit found! SNR 11.652005, Drift Rate -0.000000, index 437007
Top hit found! SNR 10.107329, Drift Rate -0.000000, index 440958
Top hit found! SNR 10.055306, Drift Rate -0.000000, index 444908
Top hit found! SNR 12.041739, Drift Rate -0.000000, index 453203
Top hit found! SNR 11.008849, Drift Rate -0.000000, index 467819
Top hit found! SNR 11.901479, Drift Rate -0.000000, index 493537
Top hit found! SNR 20.388454, Drift Rate -0.000000, index 499438
Top hit found! SNR 32.374882, Drift Rate -0.000000, index 503973
Top hit found! SNR 13.470611, Drift Rate -0.000000, index 506432
Top hit found! SNR 22.493788, Drift Rate -0.000000, index 511131
Top hit found! SNR 16.882742, Drift Rate -0.000000, index 512934
Top hit found! SNR 15.449422, Drift Rate -0.000000, index 515885
Top hit found! SNR 25.705803, Drift Rate -0.000000, index 517633
Top hit found! SNR 32.505196, Drift Rate -0.000000, index 522496
Top hit found! SNR 20.697777, Drift Rate -0.000000, index 525392
Top hit found! SNR 17.597141, Drift Rate -0.000000, index 529763
Top hit found! SNR 17.719765, Drift Rate -0.000000, index 532878
Top hit found! SNR 22.614428, Drift Rate -0.000000, index 534353
Top hit found! SNR 23.770380, Drift Rate -0.000000, index 538014
Top hit found! SNR 37.686691, Drift Rate -0.000000, index 541620
Top hit found! SNR 17.705334, Drift Rate -0.000000, index 543915
Top hit found! SNR 25.359514, Drift Rate -0.000000, index 548614
Top hit found! SNR 20.031034, Drift Rate -0.000000, index 551783
Top hit found! SNR 20.848877, Drift Rate -0.000000, index 555280
Top hit found! SNR 17.260183, Drift Rate -0.000000, index 560034
Top hit found! SNR 17.586451, Drift Rate -0.000000, index 564678
Top hit found! SNR 25.455797, Drift Rate -0.000000, index 567137
Top hit found! SNR 17.963963, Drift Rate -0.000000, index 569869
Top hit found! SNR 26.913013, Drift Rate -0.009566, index 575114
Top hit found! SNR 23.502312, Drift Rate -0.000000, index 579540
Top hit found! SNR 20.668749, Drift Rate -0.000000, index 582327
Top hit found! SNR 29.312822, Drift Rate -0.000000, index 585551
Top hit found! SNR 34.361744, Drift Rate -0.000000, index 589867
Top hit found! SNR 14.150542, Drift Rate -0.000000, index 592818
Top hit found! SNR 33.970757, Drift Rate -0.000000, index 596479
Top hit found! SNR 14.047907, Drift Rate -0.000000, index 599648
Top hit found! SNR 17.362103, Drift Rate -0.000000, index 601724
Top hit found! SNR 19.830463, Drift Rate -0.000000, index 605385
Top hit found! SNR 11.448978, Drift Rate -0.000000, index 698548
Top hit found! SNR 18.150223, Drift Rate -0.000000, index 705205
Top hit found! SNR 12.136663, Drift Rate -0.000000, index 716873
Top hit found! SNR 23.918755, Drift Rate -0.000000, index 739897
Top hit found! SNR 20.053881, Drift Rate -0.000000, index 754436
Top hit found! SNR 12.669320, Drift Rate -0.000000, index 756154
Top hit found! SNR 26.793514, Drift Rate -0.000000, index 761165
Top hit found! SNR 14.041731, Drift Rate -0.000000, index 766605
Top hit found! SNR 14.634705, Drift Rate -0.000000, index 768824
Top hit found! SNR 23.227837, Drift Rate -0.000000, index 772761
Top hit found! SNR 13.968471, Drift Rate -0.000000, index 775768
Top hit found! SNR 11.747129, Drift Rate -0.000000, index 784429
Top hit found! SNR 13.188642, Drift Rate -0.000000, index 788581
Top hit found! SNR 35.632160, Drift Rate 0.009566, index 812352
Top hit found! SNR 34.331181, Drift Rate -0.000000, index 817657
Top hit found! SNR 10.431401, Drift Rate -0.000000, index 830281
Top hit found! SNR 143.192993, Drift Rate -0.019133, index 838283
Top hit found! SNR 36.504047, Drift Rate 0.009566, index 841883
Top hit found! SNR 13.575151, Drift Rate 0.229596, index 859561
Top hit found! SNR 22.642115, Drift Rate -0.000000, index 867300
Top hit found! SNR 23.889107, Drift Rate -0.000000, index 869161
Top hit found! SNR 10.067700, Drift Rate -0.000000, index 871523
Top hit found! SNR 72.703445, Drift Rate 0.009566, index 893127
Top hit found! SNR 114.320969, Drift Rate -0.650521, index 896345
Top hit found! SNR 29.889530, Drift Rate -0.000000, index 44201
Top hit found! SNR 166.313889, Drift Rate 0.124364, index 77000
Top hit found! SNR 17.915264, Drift Rate -0.000000, index 84084
Top hit found! SNR 17.801184, Drift Rate -0.000000, index 85873
Top hit found! SNR 245.205063, Drift Rate 0.047832, index 98479
Top hit found! SNR 26.009308, Drift Rate 0.076532, index 107363
Top hit found! SNR 21.103052, Drift Rate -0.000000, index 110912
Top hit found! SNR 20.445873, Drift Rate -0.000000, index 114605
Top hit found! SNR 47.430370, Drift Rate -0.000000, index 116357
Top hit found! SNR 85.636070, Drift Rate -0.000000, index 119985
Top hit found! SNR 57.514950, Drift Rate -0.000000, index 123515
Top hit found! SNR 65.973312, Drift Rate -0.000000, index 125305
Top hit found! SNR 25.338509, Drift Rate -0.000000, index 128823
Top hit found! SNR 246.634399, Drift Rate -0.000000, index 136059
Top hit found! SNR 195.518524, Drift Rate 0.028699, index 141397
Top hit found! SNR 457.847717, Drift Rate -0.000000, index 325666
Top hit found! SNR 44.395081, Drift Rate -9.384727, index 335969
Top hit found! SNR 103.695221, Drift Rate -0.507024, index 411715
Top hit found! SNR 28.656267, Drift Rate -0.373093, index 420708
Top hit found! SNR 95.878349, Drift Rate -0.430492, index 428740
Top hit found! SNR 89.147713, Drift Rate -0.468758, index 434062
Top hit found! SNR 87.464699, Drift Rate -0.526157, index 439492
Top hit found! SNR 21.532747, Drift Rate -0.392226, index 442091
Top hit found! SNR 16.330257, Drift Rate 4.314487, index 444057
Top hit found! SNR 179.346252, Drift Rate 1.272343, index 450971
Top hit found! SNR 38.293289, Drift Rate -0.344394, index 455417
Top hit found! SNR 33.817688, Drift Rate -0.028699, index 457285
Top hit found! SNR 35.253044, Drift Rate -0.133931, index 458893
Top hit found! SNR 67.310066, Drift Rate -0.172197, index 463209
Top hit found! SNR 177.968018, Drift Rate -0.191330, index 468570
Top hit found! SNR 291.937836, Drift Rate -1.081013, index 472567
Top hit found! SNR 272.052399, Drift Rate -0.994915, index 477500
Top hit found! SNR 208.991898, Drift Rate -0.286995, index 479223
Top hit found! SNR 70.201706, Drift Rate -0.277428, index 485294
Top hit found! SNR 15.298450, Drift Rate -0.000000, index 829954
Top hit found! SNR 12.814872, Drift Rate -0.000000, index 833774
Top hit found! SNR 11.200703, Drift Rate -0.000000, index 838274
Top hit found! SNR 11.609873, Drift Rate -0.000000, index 843402
Top hit found! SNR 24.901802, Drift Rate 0.009566, index 16396
Top hit found! SNR 55.430676, Drift Rate -0.000000, index 110779
Top hit found! SNR 24.875000, Drift Rate -0.000000, index 119118
Top hit found! SNR 41.476181, Drift Rate -0.000000, index 123461
Top hit found! SNR 24.437746, Drift Rate -0.000000, index 127109
Top hit found! SNR 29.755594, Drift Rate -0.000000, index 130931
Top hit found! SNR 13.724543, Drift Rate -0.000000, index 134753
Top hit found! SNR 33.868767, Drift Rate -0.000000, index 138575
Top hit found! SNR 23.838408, Drift Rate -0.000000, index 142918
Top hit found! SNR 11.290371, Drift Rate -0.000000, index 148651
Top hit found! SNR 46.726551, Drift Rate -0.000000, index 155426
Top hit found! SNR 217.026810, Drift Rate -0.000000, index 183049
Top hit found! SNR 156.937195, Drift Rate -0.000000, index 185058
Top hit found! SNR 171.824829, Drift Rate -0.000000, index 188257
Top hit found! SNR 166.002594, Drift Rate -0.000000, index 190158
Top hit found! SNR 129.807953, Drift Rate -0.000000, index 192673
Top hit found! SNR 194.274429, Drift Rate -0.000000, index 195259
Top hit found! SNR 171.811111, Drift Rate -0.000000, index 198310
Top hit found! SNR 207.435593, Drift Rate -0.000000, index 201003
Top hit found! SNR 185.135315, Drift Rate -0.000000, index 203410
Top hit found! SNR 170.499832, Drift Rate -0.000000, index 204954
Top hit found! SNR 174.576355, Drift Rate -0.000000, index 207611
Top hit found! SNR 136.104477, Drift Rate -0.000000, index 210555
Top hit found! SNR 199.701645, Drift Rate -0.000000, index 212783
Top hit found! SNR 177.184372, Drift Rate -0.000000, index 214756
Top hit found! SNR 306.945038, Drift Rate -0.000000, index 217199
Top hit found! SNR 158.950943, Drift Rate -0.000000, index 221221
Top hit found! SNR 143.385635, Drift Rate -0.000000, index 222693
Top hit found! SNR 205.938751, Drift Rate -0.000000, index 224236
Top hit found! SNR 160.162949, Drift Rate -0.000000, index 226464
Top hit found! SNR 214.311646, Drift Rate -0.000000, index 231815
Top hit found! SNR 116.254135, Drift Rate -0.000000, index 234544
Top hit found! SNR 74.598633, Drift Rate -0.000000, index 237166
Top hit found! SNR 260.902130, Drift Rate -0.000000, index 368675
Top hit found! SNR 28.478071, Drift Rate -0.009566, index 419032
Top hit found! SNR 501.738770, Drift Rate -0.009566, index 421679
Top hit found! SNR 31.579184, Drift Rate -0.000000, index 424230
Top hit found! SNR 31.312721, Drift Rate -0.000000, index 426198
Top hit found! SNR 80.611443, Drift Rate -0.000000, index 612206
Top hit found! SNR 43.217812, Drift Rate -0.000000, index 619676
Top hit found! SNR 59.620819, Drift Rate -0.000000, index 624714
Top hit found! SNR 37.802906, Drift Rate -0.000000, index 632184
Top hit found! SNR 61.587002, Drift Rate -0.000000, index 637222
Top hit found! SNR 47.220665, Drift Rate -0.000000, index 639828
Top hit found! SNR 34.232357, Drift Rate -0.000000, index 644866
Top hit found! SNR 17.478224, Drift Rate -0.000000, index 648343
Top hit found! SNR 57.187866, Drift Rate -0.000000, index 656853
Top hit found! SNR 15.842619, Drift Rate -0.000000, index 661383
Top hit found! SNR 17.242903, Drift Rate -0.000000, index 663107
Top hit found! SNR 22.708614, Drift Rate -0.000000, index 676742
Top hit found! SNR 14.470489, Drift Rate -0.000000, index 680192
Top hit found! SNR 16.319773, Drift Rate -0.000000, index 682357
Top hit found! SNR 35.493626, Drift Rate -0.000000, index 684062
Top hit found! SNR 16.008709, Drift Rate -0.000000, index 686370
Top hit found! SNR 77.019562, Drift Rate -0.000000, index 694636
Top hit found! SNR 34.055779, Drift Rate -0.000000, index 697043
Top hit found! SNR 43.775017, Drift Rate -0.000000, index 699848
Top hit found! SNR 59.675106, Drift Rate -0.000000, index 701955
Top hit found! SNR 42.791290, Drift Rate -0.000000, index 703454
Top hit found! SNR 27.000393, Drift Rate -0.000000, index 705861
Top hit found! SNR 40.514687, Drift Rate -0.000000, index 712538
Top hit found! SNR 18.569794, Drift Rate -0.000000, index 714806
Top hit found! SNR 24.038351, Drift Rate -0.000000, index 717768
Top hit found! SNR 59.359371, Drift Rate -0.000000, index 719857
Top hit found! SNR 25.551394, Drift Rate -0.000000, index 722166
Top hit found! SNR 16.733915, Drift Rate -0.000000, index 723763
Top hit found! SNR 11.214642, Drift Rate -0.000000, index 730427
Top hit found! SNR 20.975641, Drift Rate -0.000000, index 737747
Top hit found! SNR 10.520231, Drift Rate -0.000000, index 740055
Top hit found! SNR 17.638309, Drift Rate -0.000000, index 871341
Top hit found! SNR 48.178722, Drift Rate 0.210463, index 880632
Top hit found! SNR 2199.313232, Drift Rate -0.000000, index 962723
Top hit found! SNR 2048.918213, Drift Rate -0.000000, index 969881
Top hit found! SNR 849.866760, Drift Rate -0.000000, index 973460
Top hit found! SNR 17.165840, Drift Rate -0.000000, index 1000428
Top hit found! SNR 98.549171, Drift Rate 0.009566, index 1003973
Top hit found! SNR 134.239243, Drift Rate 0.009566, index 1007552
Top hit found! SNR 106.913055, Drift Rate -0.000000, index 1018289
Top hit found! SNR 87.979721, Drift Rate 0.009566, index 1025448
Top hit found! SNR 148.990143, Drift Rate 0.009566, index 1032606
Top hit found! SNR 54.418308, Drift Rate 0.009566, index 16396
Top hit found! SNR 74.381142, Drift Rate -0.000000, index 161496
Top hit found! SNR 35.235584, Drift Rate -0.000000, index 304662
Top hit found! SNR 12.176568, Drift Rate -0.000000, index 376245
Top hit found! SNR 186.714355, Drift Rate -0.000000, index 418980
Top hit found! SNR 500.276031, Drift Rate 0.009566, index 447828
Top hit found! SNR 15.866882, Drift Rate -0.000000, index 486218
Top hit found! SNR 11.010904, Drift Rate -0.000000, index 491589
Top hit found! SNR 12.386244, Drift Rate -0.000000, index 494203
Top hit found! SNR 14.475854, Drift Rate -0.000000, index 497940
Top hit found! SNR 13.190126, Drift Rate -0.000000, index 506374
Top hit found! SNR 12.149202, Drift Rate -0.000000, index 510295
Top hit found! SNR 11.233971, Drift Rate -0.000000, index 513052
Top hit found! SNR 18.987349, Drift Rate -0.000000, index 518341
Top hit found! SNR 15.348331, Drift Rate -0.000000, index 520894
Top hit found! SNR 10.684391, Drift Rate -0.000000, index 524590
Top hit found! SNR 11.996204, Drift Rate -0.000000, index 528613
Top hit found! SNR 14.363249, Drift Rate -0.000000, index 532636
Top hit found! SNR 14.293481, Drift Rate -0.000000, index 535148
Top hit found! SNR 14.099791, Drift Rate -0.000000, index 537231
Top hit found! SNR 16.057325, Drift Rate -0.000000, index 539845
Top hit found! SNR 15.296088, Drift Rate -0.000000, index 543725
Top hit found! SNR 13.534271, Drift Rate -0.000000, index 547748
Top hit found! SNR 18.925034, Drift Rate -0.000000, index 551628
Top hit found! SNR 79.461258, Drift Rate -0.000000, index 556763
Top hit found! SNR 545.788269, Drift Rate -0.000000, index 574520
Top hit found! SNR 1062.789795, Drift Rate -0.000000, index 590600
Top hit found! SNR 615.245117, Drift Rate -0.000000, index 597785
Top hit found! SNR 192.956833, Drift Rate 0.009566, index 609419
Top hit found! SNR 511.247406, Drift Rate 0.009566, index 616908
Top hit found! SNR 233.352066, Drift Rate -0.000000, index 633753
Top hit found! SNR 50.284637, Drift Rate -0.000000, index 662465
Top hit found! SNR 881.313538, Drift Rate 0.028699, index 723687
Top hit found! SNR 106.348969, Drift Rate -0.000000, index 887016
Top hit found! SNR 17.308287, Drift Rate -0.000000, index 962723
Top hit found! SNR 24.168400, Drift Rate -0.000000, index 969881
Top hit found! SNR 12.395554, Drift Rate -0.000000, index 973460
Top hit found! SNR 13.174315, Drift Rate 0.009566, index 1007552
Top hit found! SNR 19.381647, Drift Rate -0.000000, index 1018289
Top hit found! SNR 23.558384, Drift Rate 0.009566, index 1025448
Top hit found! SNR 57.787834, Drift Rate 0.009566, index 1032606
Top hit found! SNR 139.479645, Drift Rate -0.000000, index 172313
Top hit found! SNR 69.045311, Drift Rate -0.000000, index 174872
Top hit found! SNR 73.082390, Drift Rate -0.000000, index 177543
Top hit found! SNR 206.580963, Drift Rate -0.000000, index 179632
Top hit found! SNR 97.329140, Drift Rate -0.000000, index 181941
Top hit found! SNR 20.467690, Drift Rate -0.000000, index 186662
Top hit found! SNR 14.129573, Drift Rate -0.000000, index 229627
Top hit found! SNR 11.060032, Drift Rate 0.009566, index 325680
Top hit found! SNR 306.622131, Drift Rate -0.000000, index 748137
Top hit found! SNR 444.048920, Drift Rate -0.000000, index 752074
Top hit found! SNR 845.000000, Drift Rate -0.000000, index 754508
Top hit found! SNR 866.832397, Drift Rate -0.000000, index 759662
Top hit found! SNR 1324.712036, Drift Rate -0.000000, index 761165
Top hit found! SNR 375.316132, Drift Rate -0.000000, index 765102
Top hit found! SNR 536.727417, Drift Rate -0.000000, index 766605
Top hit found! SNR 740.334534, Drift Rate -0.000000, index 770256
Top hit found! SNR 1332.172241, Drift Rate -0.000000, index 772690
Top hit found! SNR 909.162292, Drift Rate -0.000000, index 776627
Top hit found! SNR 427.624756, Drift Rate -0.000000, index 779419
Top hit found! SNR 767.927979, Drift Rate -0.000000, index 785002
Top hit found! SNR 1109.183716, Drift Rate -0.000000, index 788796
Top hit found! SNR 150.455292, Drift Rate -0.000000, index 793950
Top hit found! SNR 10.809930, Drift Rate -0.000000, index 875775
Top hit found! SNR 14.683774, Drift Rate -0.000000, index 878015
Top hit found! SNR 14.336448, Drift Rate -0.000000, index 881840
Top hit found! SNR 22.784372, Drift Rate -0.000000, index 883971
Top hit found! SNR 30.086317, Drift Rate -0.000000, index 888506
Top hit found! SNR 20.428625, Drift Rate -0.000000, index 895609
Top hit found! SNR 14.837106, Drift Rate -0.000000, index 897412
Top hit found! SNR 19.685810, Drift Rate -0.000000, index 900363
Top hit found! SNR 20.794626, Drift Rate -0.000000, index 902166
Top hit found! SNR 28.349302, Drift Rate -0.000000, index 907029
Top hit found! SNR 21.138962, Drift Rate -0.000000, index 909925
Top hit found! SNR 18.265932, Drift Rate -0.000000, index 914241
Top hit found! SNR 20.363283, Drift Rate -0.000000, index 917356
Top hit found! SNR 24.273197, Drift Rate -0.000000, index 918886
Top hit found! SNR 24.008043, Drift Rate -0.000000, index 922492
Top hit found! SNR 24.337416, Drift Rate -0.000000, index 925989
Top hit found! SNR 17.220617, Drift Rate -0.000000, index 929104
Top hit found! SNR 17.766544, Drift Rate -0.000000, index 933038
Top hit found! SNR 15.872707, Drift Rate -0.000000, index 936344
Top hit found! SNR 14.226192, Drift Rate -0.000000, index 940909
Top hit found! SNR 14.711065, Drift Rate -0.000000, index 943911
Top hit found! SNR 13.726179, Drift Rate -0.000000, index 947845
Top hit found! SNR 20.941467, Drift Rate -0.000000, index 951615
Top hit found! SNR 13.777987, Drift Rate -0.000000, index 954114
Top hit found! SNR 22.749399, Drift Rate -0.000000, index 959593
Top hit found! SNR 12.730893, Drift Rate -0.000000, index 962434
Top hit found! SNR 13.184129, Drift Rate -0.000000, index 965166
Top hit found! SNR 12.998501, Drift Rate -0.000000, index 966805
Top hit found! SNR 15.881616, Drift Rate -0.000000, index 970029
Top hit found! SNR 69.205162, Drift Rate -0.000000, index 973881
Top hit found! SNR 16.580805, Drift Rate -0.000000, index 980957
Top hit found! SNR 14.325089, Drift Rate -0.000000, index 1045655
Top hit found! SNR 11.380243, Drift Rate -0.000000, index 48062
Top hit found! SNR 18.080957, Drift Rate -0.000000, index 59658
Top hit found! SNR 15.564814, Drift Rate -0.000000, index 71899
Top hit found! SNR 44.055836, Drift Rate -0.000000, index 75800
Top hit found! SNR 10.665367, Drift Rate -0.000000, index 439572
Top hit found! SNR 20.622393, Drift Rate -0.000000, index 474093
Top hit found! SNR 24.304420, Drift Rate -0.000000, index 477918
Top hit found! SNR 24.856728, Drift Rate -0.000000, index 480322
Top hit found! SNR 65.957291, Drift Rate -0.000000, index 483819
Top hit found! SNR 92.312660, Drift Rate -0.000000, index 488245
Top hit found! SNR 59.363342, Drift Rate -0.000000, index 495348
Top hit found! SNR 49.916237, Drift Rate -0.000000, index 497151
Top hit found! SNR 72.423340, Drift Rate -0.000000, index 499282
Top hit found! SNR 80.328415, Drift Rate -0.000000, index 501905
Top hit found! SNR 91.147148, Drift Rate -0.000000, index 506768
Top hit found! SNR 76.702744, Drift Rate -0.000000, index 509773
Top hit found! SNR 38.283749, Drift Rate -0.000000, index 511303
Top hit found! SNR 64.284058, Drift Rate -0.000000, index 514035
Top hit found! SNR 80.321548, Drift Rate -0.000000, index 518734
Top hit found! SNR 54.235439, Drift Rate -0.000000, index 521029
Top hit found! SNR 115.275665, Drift Rate -0.000000, index 525892
Top hit found! SNR 51.217915, Drift Rate -0.000000, index 528296
Top hit found! SNR 102.816193, Drift Rate -0.000000, index 532831
Top hit found! SNR 1984.990112, Drift Rate -0.000000, index 538392
