
turbo_seti version 2.1.17
blimpy version 2.0.31
h5py version 3.5.0

HDF5 header info: {'DIMENSION_LABELS': array(['time', 'feed_id', 'frequency'], dtype=object), 'az_start': 0.0, 'data_type': 1, 'fch1': 2251.46484375, 'foff': -2.7939677238464355e-06, 'machine_id': 20, 'nbits': 32, 'nchans': 536870912, 'nifs': 1, 'source_name': 'ON_L', 'src_dej': <Angle 60.8686 deg>, 'src_raj': <Angle 2.65646667 hourangle>, 'telescope_id': 6, 'tsamp': 18.253611007999982, 'tstart': 59524.14275462963, 'za_start': 0.0}

Starting ET search with parameters: datafile=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/OFF_scan/spliced_blc0x1x2x_guppi_59524_12334_ON_L_0015.rawspec.0000.h5, max_drift=22.515, min_drift=0.0, snr=10.0, out_dir=/gpfs/group/jtw13/default/gbt_2020/2021/L_band/splice_no_overlap_ordered/OFF_scan/, coarse_chans=None, flagging=False, n_coarse_chan=512, kernels=None, gpu_id=0, gpu_backend=False, blank_dc=True, precision=1, append_output=False, log_level_int=30, obs_info={'pulsar': 0, 'pulsar_found': 0, 'pulsar_dm': 0.0, 'pulsar_snr': 0.0, 'pulsar_stats': array([0., 0., 0., 0., 0., 0.]), 'RFI_level': 0.0, 'Mean_SEFD': 0.0, 'psrflux_Sens': 0.0, 'SEFDs_val': [0.0], 'SEFDs_freq': [0.0], 'SEFDs_freq_up': [0.0]}

Computed drift rate resolution: 0.00956648975722505

Top hit found! SNR 14.067027, Drift Rate -0.000000, index 96240
Top hit found! SNR 12.956578, Drift Rate -0.000000, index 160782
Top hit found! SNR 14.225224, Drift Rate -0.000000, index 228202
Top hit found! SNR 422.146423, Drift Rate -0.000000, index 355756
Top hit found! SNR 217.427444, Drift Rate -0.000000, index 360164
Top hit found! SNR 118.006454, Drift Rate -0.038266, index 524287
Top hit found! SNR 11.231244, Drift Rate -0.000000, index 883449
Top hit found! SNR 115.032173, Drift Rate -0.000000, index 1015371
Top hit found! SNR 18.892942, Drift Rate -0.000000, index 1020106
Top hit found! SNR 22.195829, Drift Rate -0.000000, index 98717
Top hit found! SNR 13.242323, Drift Rate -0.000000, index 131699
Top hit found! SNR 19.796108, Drift Rate -0.009566, index 230639
Top hit found! SNR 22.632511, Drift Rate -0.000000, index 362566
Top hit found! SNR 10.893474, Drift Rate -0.000000, index 494488
Top hit found! SNR 114.686996, Drift Rate -0.000000, index 524287
Top hit found! SNR 18.614918, Drift Rate -0.000000, index 626410
Top hit found! SNR 77.704750, Drift Rate -0.000000, index 631219
Top hit found! SNR 17.618530, Drift Rate -0.009566, index 890254
Top hit found! SNR 17.837986, Drift Rate -0.000000, index 1015371
Top hit found! SNR 20.479734, Drift Rate -0.009566, index 237449
Top hit found! SNR 28.310360, Drift Rate -0.000000, index 242596
Top hit found! SNR 122.353340, Drift Rate -0.028699, index 524287
Top hit found! SNR 16.457918, Drift Rate -0.009566, index 897064
Top hit found! SNR 10.038435, Drift Rate -0.000000, index 112333
Top hit found! SNR 25.522276, Drift Rate -0.000000, index 117767
Top hit found! SNR 18.087748, Drift Rate -0.000000, index 178296
Top hit found! SNR 26.508492, Drift Rate -0.000000, index 183751
Top hit found! SNR 11.462292, Drift Rate -0.000000, index 244259
Top hit found! SNR 22.240021, Drift Rate -0.000000, index 249735
Top hit found! SNR 15.515232, Drift Rate -0.000000, index 348706
Top hit found! SNR 15.240598, Drift Rate -0.000000, index 376182
Top hit found! SNR 23.519089, Drift Rate -0.000000, index 381698
Top hit found! SNR 480.171783, Drift Rate -0.009566, index 508103
Top hit found! SNR 300.975739, Drift Rate -0.000000, index 513662
Top hit found! SNR 101.953888, Drift Rate 0.028699, index 524289
Top hit found! SNR 14.581306, Drift Rate -0.000000, index 594193
Top hit found! SNR 11.226332, Drift Rate -0.000000, index 777588
Top hit found! SNR 16.623882, Drift Rate -0.000000, index 1013512
Top hit found! SNR 125.038734, Drift Rate -0.000000, index 119143
Top hit found! SNR 16.578804, Drift Rate -0.000000, index 124753
